target,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,AB1,AB2,AB3,AB4,AB5,u3,u6,Nd,FE,BG,firstIE,TF,v1,v2
1.0635,2.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,7.0,5.0,3.0,1.0,0.0,0.03125,0.09375,1.0,-1.341231602960833,2.6297500000000005,6.030525749000001,0.3167808219178082,0.03125,0.03125
3.61484,10.0,4.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.84999769994,2.1893,6.2736295,0.3219178082191781,0.01953125,0.0
2.20473,12.0,8.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.5,-1.84999769994,2.1893,6.2736295,0.3219178082191781,0.015625,0.0
1.56188,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,6.0,4.0,2.0,1.0,3.0,0.09375,0.0,0.375,-1.58698591135375,2.1486750000000003,6.490695625000001,0.2842465753424658,0.03125,0.046875
2.79724,12.0,6.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.5,-1.84999769994,2.1893,6.2736295,0.3219178082191781,0.0078125,0.0
1.51292,4.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,6.0,4.0,2.0,0.0,4.0,0.0,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.046875,0.0625
0.62301,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,0.1875,0.1875,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.0625,0.0625
4.00774,4.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,6.0,4.0,2.0,0.0,4.0,0.0,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.0625,0.046875
2.23203,3.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,8.0,4.0,0.0,0.0,4.0,0.03125,0.0,0.6666666666666666,-0.9268750611561908,1.9693000000000005,6.819025,0.3515981735159816,0.03125,0.0625
2.51674,12.0,7.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,0.0,0.5,-1.84999769994,2.1893,6.2736295,0.3219178082191781,0.015625,0.0
1.1625,0.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,9.0,0.0,3.0,1.0,3.0,0.1875,0.09375,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.0625,0.03125
1.59343,12.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.5,-1.84999769994,2.1893,6.2736295,0.3219178082191781,0.0,0.0
2.75643,0.0,1.0,0.0,0.0,0.0,7.0,4.0,1.0,1.0,2.0,5.0,4.0,3.0,0.0,0.0,0.1875,0.0347222222222222,0.375,-1.58698591135375,2.1486750000000003,6.490695625000001,0.2842465753424658,0.0625,0.0138888888888888
1.4984,0.0,6.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,6.0,0.1875,0.0625,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.0625,0.03125
2.41986,3.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,8.0,4.0,0.0,0.0,4.0,0.03125,0.0,0.5,-1.5604329391066665,2.2797500000000004,6.562975,0.3321917808219178,0.03125,0.0625
1.7799,0.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,9.0,0.0,3.0,1.0,3.0,0.1875,0.03125,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.0625,0.03125
4.56787,12.0,4.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.84999769994,2.1893,6.2736295,0.3219178082191781,0.015625,0.0
1.82292,3.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,7.0,3.0,3.0,1.0,2.0,0.03125,0.03125,1.0,-1.256885462830625,3.176,5.9673662400000005,0.3852739726027397,0.03125,0.03125
1.61794,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,5.0,4.0,3.0,1.0,3.0,0.0,0.0625,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.03125,0.078125
2.51831,10.0,8.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.5,-1.84999769994,2.1893,6.2736295,0.3219178082191781,0.0234375,0.0
1.3683899999999998,3.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,8.0,4.0,0.0,0.0,4.0,0.03125,0.0,1.0,-1.256885462830625,3.176,5.9673662400000005,0.3852739726027397,0.03125,0.0625
1.29238,0.0,6.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,9.0,0.0,3.0,1.0,3.0,0.1875,0.09375,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.0625,0.03125
2.80734,1.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,0.0,4.0,0.0625,0.0069444444444444,0.375,-1.58698591135375,2.1486750000000003,6.490695625000001,0.2842465753424658,0.0625,0.0208333333333333
1.7259,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,12.0,0.0,4.0,0.0,0.0,0.1875,0.09375,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.0625,0.078125
3.55789,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,6.0,4.0,2.0,0.0,4.0,0.0,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.0625,0.046875
2.09531,2.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,0.6666666666666666,-0.9268750611561908,1.9693000000000005,6.819025,0.3515981735159816,0.0,0.0625
2.96477,1.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,2.0,2.0,5.0,3.0,1.0,1.0,2.0,0.0625,0.0069444444444444,0.375,-1.58698591135375,2.1486750000000003,6.490695625000001,0.2842465753424658,0.0625,0.0347222222222222
0.86199,2.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,8.0,4.0,0.0,0.0,4.0,0.09375,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.03125,0.0625
2.27538,2.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,0.5,-1.5604329391066665,2.2797500000000004,6.562975,0.3321917808219178,0.0,0.0625
2.09672,3.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.03125,0.0625
2.44095,3.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,0.0,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.015625,0.046875
2.72515,4.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0.0,4.0,0.0,0.03125,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.03125,0.03125
2.47644,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,7.0,4.0,1.0,1.0,3.0,0.09375,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.03125,0.0
1.72362,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0625,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.03125,0.125
1.79925,2.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,7.0,3.0,3.0,2.0,1.0,0.03125,0.03125,1.0,-1.341231602960833,2.6297500000000005,6.030525749000001,0.3167808219178082,0.03125,0.03125
2.30385,2.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,6.0,4.0,2.0,0.0,4.0,0.0,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.046875,0.0625
3.0795,1.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,0.0625,0.0208333333333333,0.375,-1.58698591135375,2.1486750000000003,6.490695625000001,0.2842465753424658,0.0625,0.0416666666666666
4.980729999999999,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,4.0,6.0,0.0,4.0,0.0,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.0625,0.046875
3.48621,1.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,4.0,0.0625,0.0069444444444444,0.375,-1.58698591135375,2.1486750000000003,6.490695625000001,0.2842465753424658,0.0625,0.0208333333333333
3.36148,0.0,1.0,0.0,0.0,0.0,7.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,0.1875,0.0069444444444444,0.375,-1.58698591135375,2.1486750000000003,6.490695625000001,0.2842465753424658,0.0625,0.0069444444444444
